Order Date,Product Name,Quantity
11/08/2016,Bush Somerset Collection Bookcase,2
11/08/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3
06/12/2016,Self-Adhesive Address Labels for Typewriters by Universal,2
10/11/2015,Bretford CR4500 Series Slim Rectangular Table,5
10/11/2015,Eldon Fold 'N Roll Cart System,2
06/09/2014,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7
06/09/2014,Newell 322,4
06/09/2014,Mitel 5320 IP Phone VoIP phone,6
06/09/2014,DXL Angle-View Binders with Locking Rings by Samsill,3
06/09/2014,Belkin F5C206VTEL 6 Outlet Surge,5
06/09/2014,Chromcraft Rectangular Conference Tables,9
06/09/2014,Konftel 250 Conference phone - Charcoal black,4
4/15/2017,Xerox 1967,3
12/05/2016,Fellowes PB200 Plastic Comb Binding Machine,3
11/22/2015,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5
11/22/2015,Storex DuraTech Recycled Plastic Frosted Binders,3
11/11/2014,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",6
5/13/2014,Fellowes Super Stor/Drawer,2
8/27/2014,Newell 341,2
8/27/2014,Cisco SPA 501G IP Phone,3
8/27/2014,"Wilson Jones Hanging View Binder, White, 1""",4
12/09/2016,Newell 318,7
12/09/2016,"Acco Six-Outlet Power Strip, 4' Cord Length",7
7/16/2017,"Global Deluxe Stacking Chair, Gray",2
9/25/2015,Bretford CR4500 Series Slim Rectangular Table,3
1/16/2016,Wilson Jones Active Use Binders,2
1/16/2016,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,3
9/17/2015,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7
9/17/2015,Avery Recycled Flexi-View Covers for Binding Systems,2
9/17/2015,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",3
9/17/2015,Poly String Tie Envelopes,2
9/17/2015,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6
9/17/2015,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6
9/17/2015,Lumber Crayons,2
10/19/2017,Easy-staple paper,3
12/08/2016,GE 30524EE4,7
12/08/2016,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5
12/27/2015,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",9
12/27/2015,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3
12/27/2015,"Global Fabric Manager's Chair, Dark Gray",3
12/27/2015,Plantronics HL10 Handset Lifter,4
09/10/2017,Panasonic Kx-TS550,4
7/17/2016,"Eldon Base for stackable storage shelf, platinum",2
9/19/2017,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2
03/11/2016,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2
03/11/2016,Wilson Jones Leather-Like Binders with DublLock Round Rings,2
10/20/2014,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4
6/20/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3
6/20/2016,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2
4/18/2015,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6
4/18/2015,Avery 485,6
4/18/2015,Longer-Life Soft White Bulbs,2
4/18/2015,"Global Leather Task Chair, Black",1
12/11/2016,Advantus Push Pins,7
12/11/2016,AT&T CL83451 4-Handset Telephone,5
6/17/2016,Home/Office Personal File Carts,6
6/17/2016,Xerox 232,5
6/17/2016,Novimex Turbo Task Chair,5
6/17/2016,"Array Parchment Paper, Assorted Colors",2
6/17/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2
6/17/2016,Plastic Binding Combs,4
6/17/2016,Prang Dustless Chalk Sticks,1
11/24/2015,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2
11/24/2015,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6
11/24/2015,Xerox 1943,3
11/24/2015,Luxo Economy Swing Arm Lamp,4
4/30/2015,"Global Value Mid-Back Manager's Chair, Gray",5
12/05/2014,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8
12/05/2014,netTALK DUO VoIP Telephone Service,4
06/04/2016,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2
9/18/2016,Avery Binding System Hidden Tab Executive Style Index Sets,1
9/14/2017,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3
4/26/2015,High-Back Leather Manager's Chair,8
4/26/2015,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2
4/26/2015,Safco Industrial Wire Shelving System,1
12/09/2017,Economy Binders,3
12/09/2017,"6"" Cubicle Wall Clock, Black",3
12/09/2017,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3
11/26/2014,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5
06/12/2016,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1
06/12/2016,Avery Heavy-Duty EZD  Binder With Locking Rings,3
10/12/2014,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5
10/12/2014,"Sortfiler Multipurpose Personal File Organizer, Black",1
09/03/2015,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,7
11/13/2017,Safco Industrial Wire Shelving,3
5/28/2017,Novimex Swivel Fabric Task Chair,2
10/26/2017,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,1
10/26/2017,Avery 511,2
04/05/2016,Eldon Portable Mobile Manager,7
9/17/2016,Turquoise Lead Holder with Pocket Clip,3
9/17/2016,Panasonic Kx-TS550,2
9/17/2016,Xerox 1995,1
1/31/2015,Xerox 1999,2
1/31/2015,"Seth Thomas 13 1/2"" Wall Clock",3
1/31/2015,Ibico Standard Transparent Covers,2
11/06/2017,Flexible Leather- Look Classic Collection Ring Binder,1
11/09/2017,9-3/4 Diameter Round Wall Clock,7
6/17/2017,Trimflex Flexible Post Binders,3
09/06/2016,Fellowes Basic Home/Office Series Surge Protectors,6
8/29/2016,Avery Personal Creations Heavyweight Cards,7
8/29/2016,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,3
8/29/2016,Avery Hidden Tab Dividers for Binding Systems,3
12/01/2016,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),4
11/13/2015,Logitech K350 2.4Ghz Wireless Keyboard,6
11/13/2015,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3
11/13/2015,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",3
11/23/2017,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,8
11/23/2017,Speck Products Candyshell Flip Case,1
11/23/2017,Newell Chalk Holder,1
10/15/2015,Logitech Gaming G510s - Keyboard,5
12/25/2017,Magnifier Swing Arm Lamp,2
11/03/2016,"Hunt PowerHouse Electric Pencil Sharpener, Blue",2
11/03/2016,"Avery Durable Plastic 1"" Binders",6
8/25/2014,"OIC Colored Binder Clips, Assorted Sizes",14
8/25/2014,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2
8/25/2014,Xerox 1921,3
8/25/2014,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",6
03/02/2015,Hon Racetrack Conference Tables,3
04/05/2015,GBC DocuBind 300 Electric Binding Machine,1
06/12/2016,Artistic Insta-Plaque,3
06/12/2016,DXL Angle-View Binders with Locking Rings by Samsill,4
06/12/2016,"Companion Letter/Legal File, Black",6
06/12/2016,Globe Weis Peel & Seel First Class Envelopes,9
06/12/2016,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,7
12/26/2014,Global Deluxe High-Back Manager's Chair,3
9/20/2014,Bevis 44 x 96 Conference Tables,6
11/05/2017,"Avery Durable Slant Ring Binders, No Labels",2
11/05/2017,"Trav-L-File Heavy-Duty Shuttle II, Black",7
11/06/2016,"Global Task Chair, Black",2
11/06/2016,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3
02/02/2017,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,5
02/02/2017,Xerox 1916,2
02/02/2017,Staples,9
10/13/2016,Xerox 195,3
10/13/2016,Xerox 1880,1
10/13/2016,"Sanford Colorific Colored Pencils, 12/Box",4
10/13/2016,Ideal Clamps,2
10/13/2016,GBC Wire Binding Strips,3
10/13/2016,Fiskars Softgrip Scissors,6
10/13/2016,Longer-Life Soft White Bulbs,14
09/05/2016,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2
9/18/2017,Newell 343,3
9/18/2017,Convenience Packs of Business Envelopes,3
9/18/2017,Xerox 1911,3
12/22/2017,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,3
09/07/2015,Safco Industrial Wire Shelving,7
10/22/2014,"Seth Thomas 14"" Putty-Colored Wall Clock",4
12/05/2016,Plantronics Cordless Phone Headset with In-line Volume - M214C,11
12/05/2016,Anker Astro 15000mAh USB Portable Charger,3
12/05/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",8
12/05/2016,GBC Prestige Therm-A-Bind Covers,5
3/13/2016,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,5
3/13/2016,Jabra BIZ 2300 Duo QD Duo Corded Headset,2
5/31/2015,Southworth 25% Cotton Antique Laid Paper & Envelopes,7
5/31/2015,Xerox 1883,4
5/31/2015,"Tenex Personal Project File with Scoop Front Design, Black",6
5/28/2015,Newell 311,3
03/01/2014,Global Deluxe High-Back Manager's Chair,2
11/20/2016,Avery 519,2
11/20/2016,Avaya 5420 Digital phone,7
05/11/2016,Xerox 1920,1
12/28/2015,Lenovo 17-Key USB Numeric Keypad,2
11/16/2016,Staple envelope,5
11/07/2016,Wilson Jones International Size A4 Ring Binders,2
09/08/2014,BIC Brite Liner Highlighters,3
09/08/2014,Lexmark MX611dhe Monochrome Laser Printer,8
09/08/2014,Space Solutions HD Industrial Steel Shelving.,3
09/08/2014,SAFCO Arco Folding Chair,9
09/08/2014,Sanford Liquid Accent Highlighters,6
09/08/2014,Kensington 7 Outlet MasterPiece Power Center,5
09/08/2014,JBL Micro Wireless Portable Bluetooth Speaker,3
08/05/2014,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3
08/05/2014,Xerox 1913,2
08/05/2014,"Global Value Steno Chair, Gray",7
9/14/2014,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2
9/14/2014,Avery 51,4
4/21/2017,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",4
11/21/2015,"Padded Folding Chairs, Black, 4/Carton",7
11/21/2015,Acme Rosewood Handle Letter Opener,5
12/15/2015,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",1
12/05/2014,"Tenex File Box, Personal Filing Tote with Lid, Black",2
12/05/2014,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,7
11/19/2014,AT&T TR1909W,4
11/19/2014,Nokia Lumia 521 (T-Mobile),5
11/19/2014,HP Standard 104 key PS/2 Keyboard,2
11/28/2016,Avery Poly Binder Pockets,2
8/26/2014,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,8
7/16/2016,"Personal Filing Tote with Lid, Black/Gray",3
7/16/2016,Southworth 25% Cotton Antique Laid Paper & Envelopes,3
10/12/2015,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",4
10/12/2015,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,6
10/12/2015,Xerox 205,8
10/12/2015,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3
10/12/2015,4009 Highlighters by Sanford,5
10/31/2015,Poly String Tie Envelopes,7
3/21/2014,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2
3/21/2014,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",3
11/06/2017,Decoflex Hanging Personal Folder File,3
07/06/2017,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2
07/06/2017,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",3
6/24/2017,Southworth 25% Cotton Linen-Finish Paper & Envelopes,3
08/03/2014,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,2
08/03/2014,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1
12/17/2017,Eureka Sanitaire  Commercial Upright,2
06/03/2017,"Eldon 200 Class Desk Accessories, Burgundy",7
12/09/2017,Nortel Business Series Terminal T7208 Digital phone,4
12/01/2017,"Tennsco Lockers, Gray",4
12/01/2017,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,2
12/01/2017,"Avery Durable Slant Ring Binders, No Labels",4
12/01/2017,"Advantus Push Pins, Aluminum Head",9
12/01/2017,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",1
02/09/2015,Memorex Micro Travel Drive 8 GB,2
01/02/2015,Avery 505,2
01/02/2015,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,5
01/02/2015,Speck Products Candyshell Flip Case,3
01/02/2015,Cisco 9971 IP Video Phone Charcoal,9
01/02/2015,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,2
10/28/2016,"Personal Filing Tote with Lid, Black/Gray",6
10/28/2016,Adtran 1202752G1,3
12/24/2015,OIC Bulk Pack Metal Binder Clips,2
12/24/2015,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",6
12/24/2015,Ibico Standard Transparent Covers,4
12/24/2015,"Executive Impressions 14"" Two-Color Numerals Wall Clock",4
12/24/2015,Swingline SM12-08 MicroCut Jam Free Shredder,4
12/24/2015,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2
08/09/2015,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",1
08/09/2015,Bevis 36 x 72 Conference Tables,5
08/09/2015,Rogers Deluxe File Chest,1
2/28/2015,Global Low Back Tilter Chair,2
2/28/2015,"Global Push Button Manager's Chair, Indigo",8
9/13/2014,GBC Instant Index System for Binding Systems,7
04/07/2017,Bush Advantage Collection Round Conference Table,2
04/07/2017,Bretford Rectangular Conference Table Tops,3
04/07/2017,GBC Instant Index System for Binding Systems,2
04/07/2017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",3
04/07/2017,Logitech P710e Mobile Speakerphone,3
11/12/2017,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),2
06/04/2016,Xerox 1957,5
06/04/2016,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,5
06/04/2016,Staple-based wall hangings,3
06/04/2016,PureGear Roll-On Screen Protector,2
06/04/2016,KI Conference Tables,5
06/04/2016,Eldon 100 Class Desk Accessories,3
06/04/2016,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2
06/01/2014,Global Deluxe High-Back Manager's Chair,7
06/01/2014,Safco Steel Mobile File Cart,2
06/01/2014,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",6
06/01/2014,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,5
06/01/2014,Xerox 205,4
12/10/2016,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",2
09/11/2016,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",1
09/11/2016,Logitech P710e Mobile Speakerphone,13
12/10/2016,"Fellowes Personal Hanging Folder Files, Navy",6
12/10/2016,Tyvek Side-Opening Peel & Seel Expanding Envelopes,4
11/28/2015,Eldon 100 Class Desk Accessories,9
11/28/2015,"Belkin 19"" Vented Equipment Shelf, Black",2
11/28/2015,"Tenex Personal Project File with Scoop Front Design, Black",5
11/28/2015,Logitech Mobile Speakerphone P710e - speaker phone,6
12/01/2017,Sabrent 4-Port USB 2.0 Hub,3
12/01/2017,Safco Industrial Shelving,3
12/01/2017,Acco 3-Hole Punch,5
06/08/2017,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,2
9/19/2014,Lexmark MX611dhe Monochrome Laser Printer,3
9/19/2014,Xerox WorkCentre 6505DN Laser Multifunction Printer,7
06/06/2016,Cisco Small Business SPA 502G VoIP phone,4
11/10/2015,Microsoft Sculpt Comfort Mouse,2
6/16/2017,"Quartet Omega Colored Chalk, 12/Pack",3
1/22/2016,Bagged Rubber Bands,6
